Year;Unit;Country;Month;value
2021;sqm;Czechia;01;24340
2021;sqm;Denmark;01;0
2021;sqm;Dominican Rep;01;0
2021;sqm;Estonia;01;0
2021;sqm;France;01;0
2021;sqm;Germany;01;6078
2021;sqm;Greece;01;0
2021;sqm;Hong Kong;01;0
2021;sqm;India;01;324208
2021;sqm;Indonesia;01;1469
2021;sqm;Israel;01;61013
2021;sqm;Italy;01;33614
2021;sqm;Kenya;01;0
2021;sqm;Malaysia;01;120197
2021;sqm;Mexico;01;524
2021;sqm;Oman;01;0
2021;sqm;Pakistan;01;477
2021;sqm;Philippines;01;21747
2021;sqm;Poland;01;0
2021;sqm;Portugal;01;20983
2021;sqm;Romania;01;143
2021;sqm;Samoa;01;0
2021;sqm;Saudi Arabia;01;0
2021;sqm;Singapore;01;0
2021;sqm;South Africa;01;0
2021;sqm;South Korea;01;52850
2021;sqm;Spain;01;173997
2021;sqm;Switzerland;01;0
2021;sqm;Taiwan;01;31727
2021;sqm;Thailand;01;19138
2021;sqm;Turkey;01;61594
2021;sqm;United Arab Em;01;0
2021;sqm;Vietnam;01;221682
2022;sqm;Malaysia;01;102600
2022;sqm;Romania;01;133
2022;sqm;Pakistan;01;420
2022;sqm;Spain;01;268000
2022;sqm;Czechia;01;34893
2022;sqm;Albania;01;10
2022;sqm;Germany;01;9407
2022;sqm;Brazil;01;7599
2022;sqm;Greece;01;0
2022;sqm;Colombia;01;0
2022;sqm;Mexico;01;22
2022;sqm;Vietnam;01;235420
2022;sqm;Lithuania;01;0
2022;sqm;Turkey;01;53211
2022;sqm;Cambodia;01;9305
2022;sqm;France;01;0
2022;sqm;Belgium;01;4698
2022;sqm;Indonesia;01;1883
2022;sqm;Philippines;01;26530
2022;sqm;Hong Kong;01;0
2022;sqm;China;01;9002
2022;sqm;Thailand;01;62288
2022;sqm;Italy;01;36125
2022;sqm;Ukraine;01;0
2022;sqm;Canada;01;59044
2022;sqm;Oman;01;3590
2022;sqm;Israel;01;57436
2022;sqm;India;01;502870
2022;sqm;Taiwan;01;35857
2022;sqm;South Korea;01;16179
2022;sqm;Portugal;01;22810
2022;sqm;United Arab Em;01;1596
2015;usd/sqm;Argentina;01;N/A
2015;usd/sqm;Austria;01;N/A
2015;usd/sqm;Belgium;01;63,51
2015;usd/sqm;Brazil;01;118,78
2015;usd/sqm;Canada;01;121,3
2015;usd/sqm;China;01;86,12
2015;usd/sqm;Colombia;01;N/A
2015;usd/sqm;Czechia;01;86,69
2015;usd/sqm;Ecuador;01;N/A
2015;usd/sqm;Germany;01;87,1
2015;usd/sqm;Hong Kong;01;N/A
2015;usd/sqm;Hungary;01;N/A
2015;usd/sqm;India;01;81,53
2015;usd/sqm;Indonesia;01;N/A
2015;usd/sqm;Israel;01;99,85
2015;usd/sqm;Italy;01;92,28
2015;usd/sqm;Mauritius;01;N/A
2015;usd/sqm;Mexico;01;17,82
2015;usd/sqm;Netherlands;01;N/A
2015;usd/sqm;Oman;01;N/A
2015;usd/sqm;Pakistan;01;N/A
2015;usd/sqm;Philippines;01;N/A
2015;usd/sqm;Poland;01;58,78
2015;usd/sqm;Portugal;01;117,25
2015;usd/sqm;Romania;01;N/A
2015;usd/sqm;Singapore;01;N/A
2015;usd/sqm;South Korea;01;100,3
2015;usd/sqm;Spain;01;102,71
2015;usd/sqm;Sweden;01;N/A
2015;usd/sqm;Taiwan;01;N/A
2015;usd/sqm;Turkey;01;98,79
2015;usd/sqm;Vietnam;01;94,24
2016;usd/sqm;Australia;01;N/A
2016;usd/sqm;Brazil;01;136,35
2016;usd/sqm;Cameroon;01;N/A
2016;usd/sqm;Canada;01;125,27
2016;usd/sqm;China;01;90,13
2016;usd/sqm;Colombia;01;N/A
2016;usd/sqm;Czechia;01;118,5
2016;usd/sqm;France;01;N/A
2016;usd/sqm;Germany;01;154,87
2016;usd/sqm;Hong Kong;01;99,65
2016;usd/sqm;Hungary;01;N/A
2016;usd/sqm;India;01;73,67
2016;usd/sqm;Israel;01;121,28
2016;usd/sqm;Italy;01;99,76
2016;usd/sqm;Jamaica;01;N/A
2016;usd/sqm;Lebanon;01;N/A
2016;usd/sqm;Mauritania;01;N/A
2016;usd/sqm;Mauritius;01;N/A
2016;usd/sqm;Mexico;01;30,8
2016;usd/sqm;Netherlands;01;N/A
2016;usd/sqm;Oman;01;N/A
2016;usd/sqm;Philippines;01;N/A
2016;usd/sqm;Portugal;01;107,23
2016;usd/sqm;Romania;01;1071,87
2016;usd/sqm;Saudi Arabia;01;N/A
2016;usd/sqm;Singapore;01;93,99
2016;usd/sqm;South Korea;01;111,91
2016;usd/sqm;Spain;01;100,51
2016;usd/sqm;Switzerland;01;N/A
2016;usd/sqm;Taiwan;01;N/A
2016;usd/sqm;Thailand;01;N/A
2016;usd/sqm;Turkey;01;90,14
2016;usd/sqm;United Kingdom;01;N/A
2016;usd/sqm;Uruguay;01;N/A
2016;usd/sqm;Vietnam;01;106,99
2017;usd/sqm;Australia;01;N/A
2017;usd/sqm;Bahamas;01;N/A
2017;usd/sqm;Belgium;01;N/A
2017;usd/sqm;Brazil;01;223,5
2017;usd/sqm;Cameroon;01;N/A
2017;usd/sqm;Canada;01;103,56
2017;usd/sqm;China;01;88,47
2017;usd/sqm;Croatia;01;N/A
2017;usd/sqm;Czechia;01;73,65
2017;usd/sqm;Ecuador;01;N/A
2017;usd/sqm;France;01;N/A
2017;usd/sqm;Germany;01;161,64
2017;usd/sqm;Hong Kong;01;78,87
2017;usd/sqm;India;01;113,78
2017;usd/sqm;Israel;01;109,03
2017;usd/sqm;Italy;01;118,78
2017;usd/sqm;Lithuania;01;60,58
2017;usd/sqm;Mexico;01;149,62
2017;usd/sqm;Portugal;01;136,81
2017;usd/sqm;Romania;01;N/A
2017;usd/sqm;Serbia;01;N/A
2017;usd/sqm;South Korea;01;138,86
2017;usd/sqm;Spain;01;106,57
2017;usd/sqm;St Vinc & Gren;01;N/A
2017;usd/sqm;Switzerland;01;108,63
2017;usd/sqm;Taiwan;01;N/A
2017;usd/sqm;Thailand;01;N/A
2017;usd/sqm;Turkey;01;94,35
2017;usd/sqm;United Arab Em;01;N/A
2017;usd/sqm;United Kingdom;01;382
2017;usd/sqm;Uruguay;01;N/A
2017;usd/sqm;Vietnam;01;123,26
2018;usd/sqm;Albania;01;N/A
2018;usd/sqm;Australia;01;N/A
2018;usd/sqm;Belgium;01;105,61
2018;usd/sqm;Brazil;01;125,98
2018;usd/sqm;Cabo Verde;01;N/A
2018;usd/sqm;Cameroon;01;N/A
2018;usd/sqm;Canada;01;101,58
2018;usd/sqm;China;01;73,68
2018;usd/sqm;Colombia;01;N/A
2018;usd/sqm;Czechia;01;65,14
2018;usd/sqm;France;01;N/A
2018;usd/sqm;Germany;01;99,43
2018;usd/sqm;Hong Kong;01;96,52
2018;usd/sqm;Hungary;01;N/A
2018;usd/sqm;India;01;71,4
2018;usd/sqm;Indonesia;01;N/A
2018;usd/sqm;Israel;01;115,9
2018;usd/sqm;Italy;01;104,72
